session,wave,copy,target,iterations,wall_s,cpu_s,exit_code
8,6,2,ini-ops,75000,41.4,20,0
8,6,2,properties-ops,75000,47.7,29,0
8,6,2,xml-ops,75000,20.3,4.9,0
8,6,2,plist-ops,75000,20.3,5.8,0
8,6,2,hcl-ops,75000,31.3,14,0
8,6,2,protocol-decode,800000,50.3,29.1,0
8,6,3,json-parse,400000,62,38.8,0
8,6,3,toml-parse,400000,43,25.4,0
8,6,3,yaml-parse,400000,71.7,47.4,0
8,6,3,ini-parse,400000,70.7,51.4,0
8,6,3,properties-parse,400000,73.8,49.1,0
8,6,3,xml-parse,400000,34.4,16.4,0
8,6,3,plist-parse,400000,41.3,22.4,0
8,6,3,hcl-parse,400000,66.1,40,0
8,6,3,json-ops,75000,34.4,15.9,0
8,6,3,toml-ops,75000,19.7,8.5,0
8,6,3,yaml-ops,75000,39,19.9,0
8,6,3,ini-ops,75000,44,21.1,0
8,6,3,properties-ops,75000,50.7,28.7,0
8,6,3,xml-ops,75000,12.3,5.3,0
8,6,3,plist-ops,75000,17.1,5.6,0
8,6,3,hcl-ops,75000,34.9,14.6,0
8,6,3,protocol-decode,800000,50.2,29,0
8,7,1,json-parse,400000,49,38.6,0
8,7,1,toml-parse,400000,39.7,22.5,0
8,7,1,yaml-parse,400000,68.3,54,0
8,7,1,ini-parse,400000,69.8,51.8,0
8,7,1,properties-parse,400000,71.8,54,0
8,7,1,xml-parse,400000,23.8,13.1,0
8,7,1,plist-parse,400000,25.3,19.8,0
8,7,1,hcl-parse,400000,60.2,43.2,0
8,7,1,json-ops,75000,29.4,13.7,0
8,7,1,toml-ops,75000,13.4,5.9,0
8,7,1,yaml-ops,75000,32.5,19.3,0
8,7,1,ini-ops,75000,33,20.1,0
8,7,1,properties-ops,75000,43.3,29.1,0
8,7,1,xml-ops,75000,9.7,3.8,0
8,7,1,plist-ops,75000,11.3,4.3,0
8,7,1,hcl-ops,75000,20.6,11.8,0
8,7,1,protocol-decode,800000,45.3,29.3,0
8,7,2,json-parse,400000,56.1,39.7,0
8,7,2,toml-parse,400000,40.2,23.9,0
8,7,2,yaml-parse,400000,69.3,52.6,0
8,7,2,ini-parse,400000,69.8,51.5,0
8,7,2,properties-parse,400000,67.7,58.5,0
8,7,2,xml-parse,400000,27.3,13.2,0
8,7,2,plist-parse,400000,28.4,20,0
8,7,2,hcl-parse,400000,47.3,40,0
8,7,2,json-ops,75000,30.4,14.1,0
8,7,2,toml-ops,75000,14.4,5.4,0
8,7,2,yaml-ops,75000,27.8,17.9,0
8,7,2,ini-ops,75000,29.4,18.3,0
8,7,2,properties-ops,75000,38.1,27,0
8,7,2,xml-ops,75000,5.9,4.2,0
8,7,2,plist-ops,75000,8.1,4.7,0
8,7,2,hcl-ops,75000,17.5,11.6,0
8,7,2,protocol-decode,800000,35,26.4,0
8,7,3,json-parse,400000,47.8,38.2,0
8,7,3,toml-parse,400000,31.4,22,0
8,7,3,yaml-parse,400000,64.6,54.4,0
8,7,3,ini-parse,400000,63.1,54,0
8,7,3,properties-parse,400000,67.6,58.1,0
8,7,3,xml-parse,400000,16.4,13.2,0
8,7,3,plist-parse,400000,26.2,19.6,0
8,7,3,hcl-parse,400000,50.3,41.2,0
8,7,3,json-ops,75000,19.5,13.4,0
8,7,3,toml-ops,75000,10.6,6.5,0
8,7,3,yaml-ops,75000,20.5,16.8,0
8,7,3,ini-ops,75000,25.2,18.9,0
8,7,3,properties-ops,75000,36,27.6,0
8,7,3,xml-ops,75000,9,4.3,0
8,7,3,plist-ops,75000,8,4.8,0
8,7,3,hcl-ops,75000,17.9,10.5,0
8,7,3,protocol-decode,800000,32.9,27,0
8,8,1,json-parse,400000,53.1,41.2,0
8,8,1,toml-parse,400000,41.3,25.1,0
8,8,1,yaml-parse,400000,70,54,0
8,8,1,ini-parse,400000,70.5,53,0
8,8,1,properties-parse,400000,76.6,58.8,0
8,8,1,xml-parse,400000,29.4,14.1,0
8,8,1,plist-parse,400000,37.2,22,0
8,8,1,hcl-parse,400000,57.2,40.9,0
8,8,1,json-ops,75000,31.5,14.7,0
8,8,1,toml-ops,75000,16.1,7.1,0
8,8,1,yaml-ops,75000,37.2,20.9,0
8,8,1,ini-ops,75000,37.7,21.5,0
8,8,1,properties-ops,75000,42.8,29.4,0
8,8,1,xml-ops,75000,9.7,3.7,0
8,8,1,plist-ops,75000,11.4,4.3,0
8,8,1,hcl-ops,75000,26.3,13.5,0
8,8,1,protocol-decode,800000,45.9,29.9,0
8,8,2,json-parse,400000,57.6,40.1,0
8,8,2,toml-parse,400000,36.6,24.5,0
8,8,2,yaml-parse,400000,73,56.1,0
8,8,2,ini-parse,400000,68.4,53.4,0
8,8,2,properties-parse,400000,76,59.9,0
8,8,2,xml-parse,400000,17.5,14.5,0
8,8,2,plist-parse,400000,27.3,20.1,0
8,8,2,hcl-parse,400000,48.9,42.1,0
8,8,2,json-ops,75000,21.6,14.2,0
8,8,2,toml-ops,75000,10.3,6.6,0
8,8,2,yaml-ops,75000,27.3,18.6,0
8,8,2,ini-ops,75000,31.4,19.7,0
8,8,2,properties-ops,75000,34.5,27.9,0
8,8,2,xml-ops,75000,6.4,4.3,0
8,8,2,plist-ops,75000,9.1,4.7,0
8,8,2,hcl-ops,75000,21.1,12.2,0
8,8,2,protocol-decode,800000,35.6,27.2,0
8,8,3,json-parse,400000,49.4,39,0
8,8,3,toml-parse,400000,34,23.5,0
8,8,3,yaml-parse,400000,64.2,54.2,0
8,8,3,ini-parse,400000,63.2,53.3,0
8,8,3,properties-parse,400000,66.3,57.5,0
8,8,3,xml-parse,400000,20.5,14.4,0
8,8,3,plist-parse,400000,27.2,20.1,0
8,8,3,hcl-parse,400000,51.4,41.1,0
8,8,3,json-ops,75000,22.6,14.3,0
8,8,3,toml-ops,75000,10.2,6.6,0
8,8,3,yaml-ops,75000,28.3,18.8,0
8,8,3,ini-ops,75000,28.8,19.8,0
8,8,3,properties-ops,75000,35,27.7,0
8,8,3,xml-ops,75000,6.3,4.1,0
8,8,3,plist-ops,75000,6.3,5,0
8,8,3,hcl-ops,75000,19,12.5,0
8,8,3,protocol-decode,800000,33.9,27.4,0
8,9,1,json-parse,400000,60.6,44.7,0
8,9,1,toml-parse,400000,43.2,26.3,0
8,9,1,yaml-parse,400000,73.8,56.3,0
8,9,1,ini-parse,400000,74.3,57.2,0
8,9,1,properties-parse,400000,77.9,60.3,0
